user.screen_name,text,entities.urls.0.expanded_url
sergenoiret,@cadmus @peptorn @EUILib @0fed0 @lottasvantesson @CAlpigiano @EuropeanUni https://t.co/1McsR2XjMO,https://twitter.com/CStelline/status/842747568069230592
peptorn,Molto lieto di condividere esperienze e conoscenza con i colleghi delle biblioteche italiane. #ConvegnoStelline https://t.co/dP7qScZJs5,https://twitter.com/EUILib/status/841981984993873920
Twt_Lab,RT @iccu2: Segute l'hashtag #ConvegnoStelline per la sessione coordinata dalla dott.ssa Buttò #Biblioteca https://t.co/bsG7AFRywp,https://twitter.com/GruppoMeta/status/842700685443547136
iccu2,Segute l'hashtag #ConvegnoStelline per la sessione coordinata dalla dott.ssa Buttò #Biblioteca https://t.co/bsG7AFRywp,https://twitter.com/GruppoMeta/status/842700685443547136
CStelline,RT @AmandinemJac: @CStelline https://t.co/bSO1qwdNGJ,https://twitter.com/M_L_O_L/status/842346402218954753
AmandinemJac,@CStelline https://t.co/bSO1qwdNGJ,https://twitter.com/M_L_O_L/status/842346402218954753
Twt_Lab,RT @ofux1: #ConvegnoStelline Le Liste grande novità di @M_L_O_L 2017 https://t.co/NJJgHa5SXn,https://twitter.com/M_L_O_L/status/842370255406174208
M_L_O_L,RT @ofux1: #ConvegnoStelline Le Liste grande novità di @M_L_O_L 2017 https://t.co/NJJgHa5SXn,https://twitter.com/M_L_O_L/status/842370255406174208
ofux1,#ConvegnoStelline Le Liste grande novità di @M_L_O_L 2017 https://t.co/NJJgHa5SXn,https://twitter.com/M_L_O_L/status/842370255406174208
SignoraRamsay,RT @ofux1: #ConvegnoStelline Che numeri x @M_L_O_L 2016 https://t.co/6n5qqhWdAG,https://twitter.com/M_L_O_L/status/842378637454245888
Twt_Lab,RT @ofux1: #ConvegnoStelline Che numeri x @M_L_O_L 2016 https://t.co/6n5qqhWdAG,https://twitter.com/M_L_O_L/status/842378637454245888
ofux1,#ConvegnoStelline Che numeri x @M_L_O_L 2016 https://t.co/6n5qqhWdAG,https://twitter.com/M_L_O_L/status/842378637454245888
M_L_O_L,RT @ofux1: #ConvegnoStelline Che numeri x @M_L_O_L 2016 https://t.co/6n5qqhWdAG,https://twitter.com/M_L_O_L/status/842378637454245888
MovimentoArtur1,"I Bibliotecari lo fanno meglio! 
@BiblioArturiana https://t.co/puissKHubs",https://twitter.com/M_L_O_L/status/842420714883956736
M_L_O_L,RT @appuntidicarta: Mattina non riesco... ma rituitto! :) https://t.co/dknpUwkjQU,https://twitter.com/M_L_O_L/status/842639942455083008
AmandinemJac,@eblida @CStelline https://t.co/5m1HD946Ka,https://twitter.com/M_L_O_L/status/842706731583135744
AmandinemJac,@eblida  @StefanoParise  @CStelline https://t.co/JbbZ9GPdMF,https://twitter.com/M_L_O_L/status/842707214234206210
CStelline,RT @AmandinemJac: @eblida  @StefanoParise  @CStelline https://t.co/JbbZ9GPdMF,https://twitter.com/M_L_O_L/status/842707214234206210
AmandinemJac,@eblida   @CStelline https://t.co/y8UyiezlmP,https://twitter.com/M_L_O_L/status/842712660969996288
AmandinemJac,@giulio_blasi  @M_L_O_L https://t.co/AypKJp1dxE,https://twitter.com/MirkoBonanni/status/842352451839750145
AmandinemJac,M.S.Rasetti @YouLabPistoia https://t.co/5IM6EXdwNe,https://twitter.com/Pia_Ferrara/status/842732980380557312
eblida,MS Rasetti talks about the challenges for the professionals #ConvegnoStelline @AmandinemJac @CStelline @M_L_O_L https://t.co/GgraRaSveE,https://twitter.com/Pia_Ferrara/status/842732980380557312
YouLabPistoia,RT @AmandinemJac: M.S.Rasetti @YouLabPistoia https://t.co/5IM6EXdwNe,https://twitter.com/Pia_Ferrara/status/842732980380557312
AmandinemJac,M.S.Rasetti @YouLabPistoia https://t.co/pL7SLfHTvv,https://twitter.com/Pia_Ferrara/status/842737132028465152
lavecchiastrega,Piace anche a me https://t.co/YVisa3R6Dz,https://twitter.com/Pia_Ferrara/status/842737132028465152
YouLabPistoia,RT @AmandinemJac: M.S.Rasetti @YouLabPistoia https://t.co/pL7SLfHTvv,https://twitter.com/Pia_Ferrara/status/842737132028465152
stefano_dl,Eccolo. È oggi. Confido di farcela. Confido... https://t.co/ce44C4K1mR,https://twitter.com/appuntidicarta/status/842142466048421890
giulio_blasi,RT @appuntidicarta: .@giulio_blasi https://t.co/jRIq0Cto8X,https://twitter.com/appuntidicarta/status/842728819194806272
appuntidicarta,.@giulio_blasi https://t.co/jRIq0Cto8X,https://twitter.com/appuntidicarta/status/842728819194806272
scribloc,Bellissimi! https://t.co/rXqap94Ov7,https://twitter.com/aubreymcfato/status/842675880375865344
fraenrico,Bellissimi! https://t.co/SUKWtO4GmR,https://twitter.com/aubreymcfato/status/842675880375865344
le12querce,vi e' qualcosa nella #GrandePadania che non sia un eccellenza? https://t.co/3SANd91gnO,https://twitter.com/cappellini_c/status/842358821318234117
SignoraRamsay,RT @AmandinemJac: #ConvegnoStelline  @CStelline  @eblida https://t.co/6QGedLAjE4,https://twitter.com/ctaa11y/status/840131843802333184
CStelline,RT @AmandinemJac: #ConvegnoStelline  @CStelline  @eblida https://t.co/6QGedLAjE4,https://twitter.com/ctaa11y/status/840131843802333184
